provincia,saldo_2019,saldo_2020,saldo_2021,cambio_covid
Tarragona,60241.0,-5007.0,51918.0,-65248.0
Ciudad Real,31109.0,85.0,1524.0,-31024.0
Cuenca,16628.0,-785.0,-1737.0,-17413.0
Madrid,-49852.0,-65271.0,-70485.0,-15419.0
Huesca,14011.0,2049.0,2016.0,-11962.0
Barcelona,-31343.0,-41926.0,-38329.0,-10583.0
Salamanca,13703.0,3971.0,546.0,-9732.0
Badajoz,5706.0,-3643.0,9331.0,-9349.0
Guadalajara,11109.0,2448.0,2068.0,-8661.0
Ceuta,12671.0,4972.0,826.0,-7699.0
Melilla,6324.0,-1242.0,2019.0,-7566.0
Burgos,5624.0,937.0,9159.0,-4687.0
"Rioja, La",3459.0,-471.0,2071.0,-3930.0
Araba/Álava,3161.0,-446.0,-404.0,-3607.0
Ourense,5571.0,2054.0,1249.0,-3517.0
Castellón/Castelló,5395.0,1926.0,-654.0,-3469.0
Toledo,-7278.0,-10296.0,-8702.0,-3018.0
Palencia,5810.0,2980.0,17548.0,-2830.0
Jaén,-2813.0,-4306.0,172.0,-1493.0
Ávila,2747.0,1357.0,-1582.0,-1390.0
Soria,3515.0,3426.0,16475.0,-89.0
Zaragoza,-4201.0,-3899.0,-5388.0,302.0
Lleida,-1855.0,-1488.0,730.0,367.0
Cádiz,-4084.0,-2745.0,-1168.0,1339.0
León,2939.0,4281.0,-3852.0,1342.0
Almería,-4992.0,-3515.0,-4081.0,1477.0
"Coruña, A",-4912.0,-3379.0,-706.0,1533.0
Navarra,-2526.0,-897.0,9770.0,1629.0
Teruel,-212.0,1711.0,5089.0,1923.0
Albacete,1266.0,3252.0,409.0,1986.0
Bizkaia,-5147.0,-2917.0,1139.0,2230.0
Cantabria,-3837.0,-1335.0,357.0,2502.0
Murcia,-8967.0,-5477.0,-4159.0,3490.0
Málaga,-10056.0,-6394.0,-11914.0,3662.0
Gipuzkoa,-494.0,3386.0,-1723.0,3880.0
Córdoba,-6779.0,-2721.0,-5741.0,4058.0
Cáceres,-107.0,4202.0,4388.0,4309.0
Zamora,326.0,5484.0,1428.0,5158.0
"Palmas, Las",-3070.0,2851.0,-4391.0,5921.0
Lugo,-2339.0,4322.0,429.0,6661.0
Granada,-5909.0,1131.0,-1688.0,7040.0
Valladolid,117.0,8074.0,13877.0,7957.0
Asturias,-2940.0,5034.0,6066.0,7974.0
Alicante/Alacant,-7062.0,1821.0,-6575.0,8883.0
Girona,-3466.0,5774.0,-5125.0,9240.0
Huelva,-2941.0,6971.0,-2437.0,9912.0
"Balears, Illes",-12948.0,-2293.0,-12151.0,10655.0
Valencia/València,-9691.0,1238.0,19649.0,10929.0
Pontevedra,-3108.0,10458.0,-1101.0,13566.0
Segovia,-1017.0,13190.0,10443.0,14207.0
Santa Cruz de Tenerife,4606.0,22834.0,-2993.0,18228.0
Sevilla,-12092.0,38234.0,6390.0,50326.0
