provincia,saldo_medio,entradas_media,salidas_media,tasa_atraccion_media
Ceuta,15444.8,17615.6,2170.9,0.7
"Rioja, La",10047.6,13929.2,3881.6,0.4
Salamanca,10030.4,14505.6,4475.1,0.4
Ciudad Real,8220.1,14583.4,6363.3,0.2
Ourense,7218.5,10876.1,3657.6,0.2
Araba/Álava,6247.4,9964.7,3717.4,0.4
Teruel,6132.5,8686.4,2553.9,0.3
Segovia,5593.3,8468.9,2875.6,0.4
Palencia,5439.4,7642.8,2203.4,0.5
Zaragoza,5267.6,14581.9,9314.3,-0.3
Melilla,5163.1,7601.8,2438.6,0.5
Zamora,5139.8,7756.9,2617.1,0.4
Soria,4900.0,6403.1,1503.1,0.6
Badajoz,4622.2,11063.4,6441.2,-0.5
Tarragona,4321.0,16075.8,11754.8,-1.2
Gipuzkoa,4270.6,9482.9,5212.3,0.0
Burgos,3485.3,8316.1,4830.8,0.1
Cantabria,3287.7,9048.1,5760.4,-0.1
Cáceres,2903.8,8127.1,5223.3,-0.1
Huesca,2647.6,6190.5,3542.9,0.2
Guadalajara,2591.4,8570.9,5979.4,-0.1
Cuenca,2438.9,6414.7,3975.8,-0.2
Ávila,2391.1,5843.4,3452.3,-0.1
Albacete,2348.9,7309.9,4961.0,-0.4
León,2139.4,8001.1,5861.8,-0.1
Lugo,1916.1,5447.1,3531.0,0.0
Valladolid,1905.1,7477.4,5572.3,-0.0
Almería,1731.7,10347.9,8616.1,-1.1
Girona,1592.4,11712.4,10119.9,-1.0
Pontevedra,1520.9,8847.3,7326.4,-0.3
Huelva,1354.5,6440.7,5086.2,-0.2
Santa Cruz de Tenerife,1241.7,9907.2,8665.5,-0.4
Lleida,1142.9,7376.8,6233.9,-0.1
Castellón/Castelló,1077.6,7798.5,6720.9,-0.2
Asturias,1043.3,8699.1,7655.8,-0.3
Jaén,954.0,8858.5,7904.5,-0.2
"Balears, Illes",713.9,15195.4,14481.6,-1.9
Cádiz,486.0,12443.9,11957.9,-1.0
Córdoba,262.4,7963.9,7701.5,-1.2
Navarra,-374.3,5169.7,5544.0,-0.4
"Coruña, A",-1893.0,6654.3,8547.3,-0.8
Sevilla,-2316.6,12177.6,14494.1,-2.0
Granada,-3277.6,7774.6,11052.3,-1.5
"Palmas, Las",-4313.3,6909.6,11222.9,-1.2
Bizkaia,-4344.5,4639.7,8984.2,-1.8
Murcia,-5873.7,7177.7,13051.4,-1.2
Málaga,-6416.4,8210.0,14626.4,-1.3
Toledo,-7146.3,7111.8,14258.1,-2.7
Valencia/València,-9036.4,10623.9,19660.3,-2.9
Alicante/Alacant,-10328.0,8031.1,18359.1,-2.9
Barcelona,-35978.1,8888.5,44866.6,-5.8
Madrid,-57936.9,7484.9,65421.8,-12.8
